text,label
"Breaking: Scientists confirm that drinking water keeps humans alive.",REAL
"Government announces new education budget for public schools.",REAL
"NASA successfully tests a new rocket engine for future missions.",REAL
"Researchers develop an AI model to detect early signs of disease.",REAL
"Stock markets close higher after positive economic data.",REAL
"Local city launches free health checkup camps for senior citizens.",REAL
"University introduces new scholarships for low-income students.",REAL
"Tech company releases a new smartphone with upgraded camera features.",REAL
"Heavy rainfall causes traffic disruptions in several parts of the city.",REAL
"New renewable energy project to power over 50,000 homes.",REAL
"Doctors recommend regular exercise to reduce health risks.",REAL
"Scientists discover a new species in the Amazon rainforest.",REAL
"Railway ministry announces extra trains for holiday season.",REAL
"School board approves changes to final exam schedule.",REAL
"New study shows that sleep improves memory and concentration.",REAL
"Celebrity confirms upcoming movie release next summer.",REAL
"Researchers publish findings on climate change impacts in coastal regions.",REAL
"Public transport fares remain unchanged this year.",REAL
"Farmers receive support package after crop damage due to storms.",REAL
"International summit focuses on clean energy cooperation.",REAL
"Aliens have secretly taken control of all world governments overnight.",FAKE
"Doctors hate this one fruit because it can instantly cure every disease.",FAKE
"Moon is made entirely of cheese, leaked report reveals.",FAKE
"Secret society discovered living under the ocean for 500 years.",FAKE
"Scientists prove that eating only chocolate makes you live to 150.",FAKE
"Government installs mind-reading chips in all mobile phones.",FAKE
"Man becomes invisible after drinking three energy drinks in a row.",FAKE
"Ancient dragon found sleeping under a shopping mall parking lot.",FAKE
"Time traveler warns that homework will be illegal by 2030.",FAKE
"New law requires all citizens to wear purple shoes on Mondays.",FAKE
"Shouting at plants makes them grow faster than sunlight.",FAKE
"Scientists confirm that clouds are made of cotton candy.",FAKE
"Viral post claims cats can now speak fluent English.",FAKE
"Earth will stop spinning for five minutes next Tuesday, experts say.",FAKE
"Study reveals that watching cartoons all day doubles IQ instantly.",FAKE
"Fish discovered running a secret underwater city council.",FAKE
"New app can predict your future husband’s name with 100% accuracy.",FAKE
"Hidden pyramid found on Mars built by ancient humans.",FAKE
"Sleeping with your phone under your pillow gives you telepathic powers.",FAKE
"Bananas officially declared as the best fuel for airplanes.",FAKE
